movie,genres,rating,rating-count,num-reviews,num-critics,gross-USA,gross-world
Far Cry, Action Adventure Sci-Fi,3.1,13180,82,54.0,,
Rollerball, Action Sci-Fi Sport,3.1,25484,298,157.0,18990798.0,25852764.0
Kazaam, Comedy Family Fantasy,3.0,22843,107,22.0,18937262.0,18937262.0
Jaws: The Revenge, Adventure Horror Thriller,3.0,40543,446,103.0,20763013.0,51881013.0
BloodRayne, Action Fantasy Horror,2.9,33898,485,72.0,2405420.0,3650275.0
3 Ninjas: High Noon at Mega Mountain, Action Adventure Comedy,2.9,10422,71,7.0,375805.0,375805.0
Troll 2, Comedy Fantasy Horror,2.9,30407,460,151.0,375805.0,375805.0
Cats, Comedy Drama Family,2.8,36498,1804,231.0,27166770.0,73832709.0
Meet the Spartans, Comedy,2.8,100782,428,113.0,38233676.0,85897593.0
Date Movie, Comedy Romance,2.8,56726,619,101.0,48548426.0,85749034.0
Steel, Action Adventure Crime,2.8,11053,66,45.0,1710972.0,1710972.0
The Human Centipede III (Final Sequence), Comedy Crime Horror,2.7,14334,141,118.0,16184.0,16184.0
Santa Claus Conquers the Martians, Adventure Comedy Family,2.7,10702,247,82.0,16184.0,16184.0
Baby Geniuses, Comedy Crime Family,2.6,24816,187,50.0,27250736.0,36450736.0
Tees Maar Khan, Comedy Crime,2.5,11180,113,28.0,1076443.0,13681934.0
Dragonball Evolution, Action Adventure Family,2.5,69452,584,141.0,9362785.0,55720772.0
Gigli, Comedy Crime Romance,2.5,45757,431,127.0,6087542.0,7266209.0
Battlefield Earth, Action Adventure Sci-Fi,2.5,75346,1378,119.0,21471685.0,29725663.0
Gunday, Action Drama Romance,2.4,57508,891,21.0,,
Epic Movie, Adventure Comedy,2.4,101051,690,114.0,39739367.0,87238158.0
Alone in the Dark, Action Horror Sci-Fi,2.4,41441,533,153.0,5178569.0,12693645.0
Student of the Year 2, Drama Romance Sport,2.3,15298,320,18.0,778566.0,1635907.0
Glitter, Drama Music Romance,2.3,21325,319,74.0,4274407.0,5271666.0
Hobgoblins, Comedy Horror Sci-Fi,2.3,10397,207,44.0,4274407.0,5271666.0
Who's Your Caddy?, Comedy Sport,2.2,14505,49,25.0,5713425.0,5713425.0
Son of the Mask, Comedy Family Fantasy,2.2,51816,268,52.0,17018422.0,59981548.0
The Oogieloves in the Big Balloon Adventure, Adventure Family Fantasy,2.1,14839,88,27.0,1065907.0,1065907.0
From Justin to Kelly, Comedy Musical Romance,2.1,24695,310,62.0,4928883.0,4928883.0
House of the Dead, Action Adventure Horror,2.0,35656,597,144.0,10249719.0,13818181.0
Race 3, Action Thriller,1.9,32512,383,22.0,1690861.0,6817391.0
Kod Adi K.O.Z., Crime Mystery,1.9,27115,73,3.0,,
Disaster Movie, Comedy,1.9,86373,427,105.0,14190901.0,34816824.0
The Hottie & the Nottie, Comedy Romance,1.9,35992,120,77.0,27696.0,1596232.0
Superbabies: Baby Geniuses 2, Comedy Family Sci-Fi,1.9,29592,132,37.0,9219388.0,9448644.0
Manos: The Hands of Fate, Horror,1.9,34544,712,112.0,9219388.0,9448644.0
Birdemic: Shock and Terror, Horror Thriller,1.8,20936,282,101.0,9219388.0,9448644.0
Daniel der Zauberer, Comedy Crime Fantasy,1.8,13825,48,14.0,9219388.0,9448644.0
Pledge This!, Comedy,1.8,16736,88,17.0,,
Going Overboard, Comedy,1.8,12180,159,18.0,,
Dünyayi Kurtaran Adam'in Oglu, Action Comedy Sci-Fi,1.6,15575,20,5.0,,2381856.0
Saving Christmas, Comedy Family,1.4,14837,168,27.0,2783970.0,2783970.0
